material_id,material_name,warehouse_id,closing_stock,reorder_level
MAT-002,Seals Item 02,WH-001,3.0,8.0
MAT-003,Seals Item 03,WH-001,2.0,9.0
MAT-006,Bearings Item 01,WH-001,2.0,7.0
MAT-016,Valves Item 01,WH-001,5.0,5.0
MAT-017,Valves Item 02,WH-001,3.0,4.0
MAT-027,Electrical Item 02,WH-001,3.0,6.0
MAT-034,Piping Item 04,WH-001,5.0,7.0
MAT-038,Chemicals Item 03,WH-001,31.0,42.0
MAT-003,Seals Item 03,WH-002,7.0,7.0
MAT-007,Bearings Item 02,WH-002,2.0,5.0
MAT-010,Bearings Item 05,WH-002,1.0,5.0
MAT-018,Valves Item 03,WH-002,5.0,5.0
MAT-022,Filters Item 02,WH-002,4.0,7.0
MAT-028,Electrical Item 03,WH-002,2.0,6.0
MAT-029,Electrical Item 04,WH-002,3.0,6.0
MAT-031,Piping Item 01,WH-002,2.0,6.0
MAT-034,Piping Item 04,WH-002,4.0,6.0
MAT-039,Chemicals Item 04,WH-002,41.0,52.0
MAT-040,Chemicals Item 05,WH-002,11.0,27.0
MAT-001,Seals Item 01,WH-003,6.0,8.0
MAT-008,Bearings Item 03,WH-003,3.0,6.0
MAT-026,Electrical Item 01,WH-003,4.0,5.0
MAT-032,Piping Item 02,WH-003,0.0,5.0
MAT-035,Piping Item 05,WH-003,5.0,7.0
MAT-001,Seals Item 01,WH-004,6.0,8.0
MAT-016,Valves Item 01,WH-004,2.0,4.0
MAT-026,Electrical Item 01,WH-004,3.0,5.0
MAT-027,Electrical Item 02,WH-004,2.0,6.0
MAT-030,Electrical Item 05,WH-004,7.0,7.0
MAT-033,Piping Item 03,WH-004,6.0,6.0
MAT-038,Chemicals Item 03,WH-004,14.0,30.0
