incident_id,date,field_id,incident_type,severity,lost_time_flag,days_lost,root_cause,department
HSE-000001,2022-01-04,FIELD-001,Equipment Damage,High,0,0,Procedure Not Followed,Maintenance
HSE-000002,2022-01-04,FIELD-002,Injury,High,0,0,Procedure Not Followed,Maintenance
HSE-000003,2022-01-06,FIELD-004,First Aid,Medium,0,0,Inadequate Maintenance,Operations
HSE-000004,2022-01-09,FIELD-002,Injury,High,1,5,Inadequate Maintenance,Operations
HSE-000005,2022-01-10,FIELD-003,Near Miss,Low,0,0,Equipment Failure,Maintenance
HSE-000006,2022-01-14,FIELD-002,Equipment Damage,Low,0,0,Inadequate Maintenance,Maintenance
HSE-000007,2022-01-15,FIELD-002,Near Miss,Low,0,0,Procedure Not Followed,Maintenance
HSE-000008,2022-01-16,FIELD-003,Near Miss,Low,0,0,Unknown,Maintenance
HSE-000009,2022-01-26,FIELD-004,Environmental Release,Medium,0,0,Unknown,Operations
HSE-000010,2022-01-28,FIELD-001,Near Miss,Medium,0,0,Human Error,Facilities
HSE-000011,2022-01-30,FIELD-004,Vehicle Incident,High,0,0,Contractor Activity,Logistics
HSE-000012,2022-02-02,FIELD-004,Equipment Damage,Low,0,0,Environmental Conditions,Operations
HSE-000013,2022-02-03,FIELD-001,Near Miss,Low,0,0,Procedure Not Followed,Operations
HSE-000014,2022-02-03,FIELD-003,Near Miss,Low,0,0,Environmental Conditions,Maintenance
HSE-000015,2022-02-04,FIELD-001,Near Miss,Low,0,0,Human Error,Maintenance
HSE-000016,2022-02-04,FIELD-003,Near Miss,Medium,0,0,Equipment Failure,Operations
HSE-000017,2022-02-07,FIELD-002,Injury,Medium,0,0,Equipment Failure,Operations
HSE-000018,2022-02-07,FIELD-003,Injury,Medium,0,0,Contractor Activity,Maintenance
HSE-000019,2022-02-11,FIELD-004,First Aid,Low,0,0,Human Error,Maintenance
HSE-000020,2022-02-14,FIELD-003,Injury,Medium,0,0,Equipment Failure,Operations
HSE-000021,2022-02-17,FIELD-004,First Aid,Low,0,0,Inadequate Maintenance,Operations
HSE-000022,2022-02-19,FIELD-002,First Aid,Low,0,0,Human Error,Operations
HSE-000023,2022-02-19,FIELD-002,Near Miss,Medium,0,0,Human Error,Facilities
HSE-000024,2022-02-27,FIELD-003,First Aid,Low,0,0,Unknown,Operations
HSE-000025,2022-03-01,FIELD-003,Process Safety Event,Medium,0,0,Equipment Failure,Operations
HSE-000026,2022-03-02,FIELD-004,Near Miss,Medium,0,0,Contractor Activity,Maintenance
HSE-000027,2022-03-04,FIELD-001,First Aid,Low,0,0,Inadequate Maintenance,Maintenance
HSE-000028,2022-03-06,FIELD-001,Near Miss,Low,0,0,Equipment Failure,Operations
HSE-000029,2022-03-10,FIELD-002,Near Miss,Medium,0,0,Human Error,Operations
HSE-000030,2022-03-12,FIELD-003,Near Miss,Low,0,0,Unknown,Facilities
HSE-000031,2022-03-13,FIELD-001,Near Miss,Medium,0,0,Contractor Activity,Facilities
HSE-000032,2022-03-14,FIELD-004,Injury,Medium,0,0,Procedure Not Followed,Logistics
